a,b,c,y
7.47,5.73,2.46,30.22
0.45,-1.61,-1.71,-1.82
5.17,8.79,8.5,28.74
1.25,-7.98,-4.28,-17.61
-1.78,-2.34,-0.29,-10.39
2.18,-9.25,-4.49,-18.48
3.87,-9.22,7.79,-27.17
-3.37,-5.25,4.91,-26.46
-9.6,6.35,-3.94,3.28
-4.39,-0.17,3.92,-12.39
-7.31,9.48,-1.14,15.54
6.52,-4.61,-1.66,0.67
-5.77,6.48,4.82,2.82
5.19,7.34,6.42,25.69
-3.78,0.14,-7.29,0.12
7.03,7.59,-9.42,46.58
6.74,-5.01,-0.87,0.21
8.36,4.09,-4.52,33.77
2.71,-7.52,-9.39,-8.28
-2.55,1.88,-6.45,7.45
-3.0,-6.73,7.89,-34.56
4.98,3.78,-4.3,25.37
1.45,9.3,7.14,23.85
2.95,3.55,-4.62,21.09
5.61,5.35,-9.82,37.14
8.23,2.95,2.02,23.67
6.1,-3.89,9.34,-8.79
2.85,-1.52,-2.47,3.39
-0.67,3.54,6.49,3.1
-2.06,-7.95,0.23,-28.7
-2.52,2.95,2.18,0.81
-4.03,-7.84,-8.72,-22.15
7.23,-4.78,4.22,-4.15
7.85,-4.02,-7.0,10.74
6.11,6.05,2.0,27.3
3.21,3.62,4.43,11.88
-4.81,-1.63,-2.23,-13.71
-9.29,4.16,1.44,-7.24
-5.55,0.69,5.7,-13.98
8.13,3.44,0.15,26.97
7.53,-6.38,-8.05,3.18
-7.44,-4.83,6.17,-35.51
3.59,-3.29,-8.21,5.2
-2.89,4.88,-3.86,12.83
-4.79,-4.12,7.02,-29.4
-0.59,7.33,1.67,19.32
7.79,0.01,7.35,8.19
-2.37,-4.03,-8.92,-7.74
-5.99,-1.82,1.39,-19.05
8.13,-0.85,-3.67,17.19
-0.25,2.62,-6.46,12.97
2.69,-9.91,-4.53,-19.8
5.29,-0.21,5.27,4.38
-8.24,2.29,2.67,-13.34
-2.33,-9.25,-6.01,-25.66
-2.54,-9.72,-3.56,-30.52
3.53,2.53,-5.02,19.39
3.87,-3.11,-7.42,5.33
-6.66,6.48,-4.04,10.61
-4.18,4.56,1.93,2.84
9.91,-3.15,8.03,3.23
-2.81,-6.23,8.96,-32.83
-5.43,4.54,-7.38,9.89
4.68,1.79,-6.62,20.87
-9.25,7.53,-4.88,9.51
0.69,-9.03,9.89,-35.98
-9.61,3.79,-1.66,-6.81
-2.39,0.95,-0.51,-0.98
2.61,-3.98,3.23,-9.32
3.25,-4.6,2.11,-8.8
-7.9,4.38,-7.65,5.71
-7.72,-7.87,-6.03,-32.9
0.46,-5.97,4.07,-20.69
-4.09,-9.21,-0.07,-35.43
-3.39,-9.95,3.43,-38.94
8.14,6.7,3.38,33.13
0.23,4.47,-7.97,22.02
-4.88,-5.38,9.77,-35.83
-8.0,-6.51,-9.21,-25.78
-4.19,6.03,-3.75,13.44
5.16,-9.08,7.04,-24.18
3.27,-6.59,-2.85,-11.02
7.57,-8.14,6.3,-15.31
-6.34,-1.98,9.25,-27.94
7.01,6.0,2.98,29.53
5.94,-7.74,3.92,-14.15
-6.81,-1.68,1.82,-20.05
6.05,3.57,-6.37,28.84
-9.42,3.69,6.77,-14.22
9.47,-7.39,8.41,-11.25
-9.08,-4.77,-3.72,-28.41
4.09,3.56,5.35,12.94
9.56,3.4,-3.23,32.25
0.46,4.01,-8.1,20.85
-3.09,3.53,-2.3,6.39
6.78,1.17,9.76,7.99
-6.86,6.98,7.04,0.42
7.39,-8.5,-0.17,-10.47
-8.99,-5.55,2.87,-36.18
-1.93,-5.3,-0.82,-18.77
7.13,-1.06,-7.63,18.19
-0.05,3.07,-7.95,16.52
-10.0,-8.18,2.08,-46.29
2.38,-3.91,0.17,-6.94
9.01,-2.73,-8.91,19.46
-5.54,-0.91,1.2,-15.42
3.14,4.32,-7.72,26.57
5.19,-5.57,-3.17,-2.54
-4.16,0.44,4.04,-12.17
-9.08,-6.72,-7.19,-31.3
-7.86,2.22,-6.25,-3.59
8.6,-2.14,-0.86,11.8
-7.84,-1.71,8.53,-30.12
6.75,1.78,5.44,12.7
9.12,-7.31,-0.02,-3.45
0.61,-9.03,8.71,-34.28
0.17,8.42,-6.46,31.57
1.57,4.61,-7.43,23.89
7.65,0.08,-2.31,18.29
9.59,8.32,5.25,38.7
9.41,-0.94,-7.33,24.6
-1.75,4.0,4.97,3.29
7.21,4.24,8.71,19.17
2.65,-5.98,2.48,-15.24
3.45,9.63,3.0,33.24
9.17,0.08,3.89,14.58
-2.96,-0.39,1.41,-8.28
3.34,-1.65,4.96,-3.01
6.95,6.17,0.45,31.62
-9.49,-7.09,3.41,-43.4
-6.78,-4.27,-4.99,-20.59
6.79,3.81,-4.1,29.11
6.28,-7.95,7.36,-18.78
4.79,7.3,4.85,26.29
5.69,5.98,-4.25,33.43
3.29,8.53,-2.25,35.73
-3.75,1.04,-9.74,4.99
-4.97,2.41,5.62,-7.69
8.23,4.09,2.95,25.09
5.1,0.93,2.07,11.13
-4.12,-6.45,3.65,-32.51
-6.26,-6.52,0.28,-32.74
1.13,-7.4,1.68,-21.25
-4.9,-3.39,4.19,-24.0
-3.55,-8.98,8.65,-42.45
2.31,3.24,-0.19,14.11
5.68,-3.64,-5.6,5.83
-6.32,-8.64,0.1,-39.2
-8.16,-5.58,-5.73,-27.02
-3.36,-2.78,-5.63,-9.42
9.93,6.47,9.62,29.04
-9.82,3.38,-1.09,-7.84
2.42,9.18,3.65,28.34
-3.58,8.32,8.9,8.43
-4.34,8.23,6.44,9.98
-2.5,6.06,-1.09,15.3
-6.15,0.28,8.96,-20.13
-6.65,9.13,0.76,13.51
3.41,5.47,7.3,15.94
-1.52,-7.92,0.76,-27.96
5.5,2.93,8.8,9.68
4.94,-6.92,-0.82,-10.17
-8.91,5.88,1.16,-1.15
1.5,-5.45,-4.83,-9.06
-1.34,-9.66,3.47,-34.67
0.7,2.83,2.37,7.54
4.02,-8.55,8.56,-26.83
-7.88,5.74,-3.97,6.16
-1.25,-2.1,3.21,-11.57
-0.52,0.67,-7.27,7.55
0.91,9.2,-7.12,37.11
3.55,8.28,5.9,25.98
8.99,1.07,1.1,19.61
-7.54,-9.9,1.93,-47.89
-3.91,4.97,8.07,-1.26
-3.12,-1.75,2.92,-14.71
-5.58,6.69,-6.11,15.0
-6.37,5.99,7.05,-1.13
9.89,-0.77,0.99,15.55
-4.19,-8.65,-8.04,-26.38
-3.38,-7.44,3.11,-32.76
-8.0,2.39,8.0,-17.06
2.33,-3.89,1.68,-8.19
1.31,-2.71,-3.67,-1.88
-5.08,-5.57,4.8,-31.65
-1.28,6.8,-7.31,25.04
-0.74,-2.83,-3.89,-7.1
1.03,-6.48,2.13,-18.97
-7.2,0.77,-4.74,-8.18
7.73,-8.47,-8.49,-0.87
-9.38,1.64,-1.9,-11.87
1.8,8.13,1.03,25.2
-0.56,5.5,-2.68,17.57
-5.53,5.44,4.66,0.46
0.21,-2.06,0.04,-5.26
3.25,6.96,6.13,21.02
0.28,-1.08,-6.42,3.54
8.97,3.19,9.35,18.11
-2.82,-5.62,-0.25,-22.82
-8.74,-2.61,-9.14,-15.88
-2.77,-0.61,-0.91,-5.41
-9.07,9.61,-3.52,14.04
6.59,6.7,-4.73,37.43
0.89,-6.52,3.07,-21.33
6.71,0.33,-2.47,17.43
8.14,0.33,-2.94,20.6
-0.36,2.08,0.04,5.05
-7.22,-6.69,-8.46,-26.26
-6.26,-2.76,4.35,-25.42
-7.63,-5.39,6.22,-37.76
-0.42,-5.79,-6.78,-11.99
6.67,-9.55,-9.14,-6.44
2.59,-9.22,1.45,-24.06
-8.88,-4.83,-6.4,-25.2
1.27,-9.63,4.39,-30.92
3.23,-4.33,-8.29,0.27
7.35,-6.59,6.61,-11.19
2.02,5.89,6.41,15.6
-4.71,4.48,-3.15,7.84
-0.93,1.81,-5.4,8.79
-5.95,7.19,0.09,9.74
-1.6,-7.01,-8.07,-16.84
-9.22,5.68,0.07,-1.37
