a,b,product
36,2,72
38,49,1862
24,3,72
23,50,1150
27,30,810
13,3,39
13,1,13
48,43,2064
27,17,459
16,40,640
11,5,55
9,4,36
17,25,425
5,19,95
45,28,1260
26,33,858
13,42,546
16,11,176
3,5,15
27,21,567
48,19,912
10,12,120
22,26,572
30,30,900
34,44,1496
50,10,500
44,27,1188
22,44,968
36,24,864
0,35,0
50,38,1900
12,4,48
46,42,1932
37,39,1443
9,20,180
42,46,1932
47,47,2209
46,20,920
0,9,0
29,9,261
31,20,620
7,50,350
43,26,1118
16,33,528
46,0,0
28,8,224
40,28,1120
40,37,1480
6,2,12
13,47,611
12,26,312
44,34,1496
49,10,490
38,24,912
13,22,286
13,12,156
43,36,1548
0,23,0
23,1,23
19,19,361
32,7,224
44,31,1364
41,29,1189
26,26,676
22,22,484
34,27,918
33,48,1584
21,7,147
11,29,319
27,23,621
11,35,385
38,10,380
34,27,918
24,18,432
42,44,1848
43,27,1161
40,18,720
44,39,1716
6,5,30
6,5,30
41,1,41
39,26,1014
6,31,186
47,48,2256
39,34,1326
6,40,240
28,32,896
37,2,74
42,18,756
26,13,338
14,49,686
29,35,1015
24,7,168
12,30,360
7,22,154
50,29,1450
26,41,1066
45,50,2250
47,25,1175
0,23,0
50,14,700
32,18,576
17,42,714
16,19,304
50,26,1300
43,15,645
0,26,0
2,0,0
1,9,9
50,23,1150
33,47,1551
38,20,760
21,10,210
36,27,972
15,35,525
25,12,300
39,41,1599
25,3,75
36,27,972
8,40,320
24,46,1104
11,25,275
20,33,660
10,27,270
14,6,84
45,8,360
32,7,224
40,36,1440
50,25,1250
48,40,1920
16,35,560
10,20,200
13,5,65
5,1,5
27,0,0
40,49,1960
37,9,333
1,39,39
45,34,1530
5,36,180
24,1,24
47,46,2162
8,29,232
40,40,1600
49,22,1078
11,15,165
41,14,574
19,12,228
34,15,510
46,49,2254
50,24,1200
49,16,784
42,3,126
17,5,85
9,40,360
1,40,40
37,6,222
7,29,203
38,7,266
6,9,54
18,16,288
11,5,55
4,31,124
23,13,299
25,6,150
31,50,1550
1,26,26
4,31,124
40,4,160
13,43,559
26,24,624
20,40,800
28,10,280
11,19,209
0,11,0
42,36,1512
40,38,1520
2,7,14
21,22,462
30,39,1170
38,34,1292
0,10,0
33,47,1551
16,7,112
12,38,456
1,34,34
1,33,33
32,48,1536
9,13,117
23,7,161
13,1,13
20,8,160
14,5,70
46,44,2024
8,17,136
17,30,510
12,5,60
22,45,990
35,41,1435
18,29,522
47,31,1457
27,32,864
25,12,300
16,11,176
12,43,516
45,17,765
25,6,150
37,50,1850
49,37,1813
19,10,190
50,13,650
46,31,1426
27,28,756
27,38,1026
47,17,799
20,39,780
6,38,228
24,27,648
12,36,432
22,23,506
40,4,160
28,10,280
2,32,64
16,37,592
26,18,468
38,41,1558
33,22,726
25,1,25
7,11,77
20,27,540
50,11,550
22,15,330
4,13,52
42,23,966
23,9,207
49,20,980
7,0,0
20,44,880
0,45,0
21,13,273
29,36,1044
50,20,1000
14,35,490
4,24,96
18,38,684
13,33,429
13,6,78
35,17,595
45,38,1710
42,4,168
36,41,1476
26,43,1118
48,27,1296
20,20,400
12,12,144
3,31,93
31,2,62
17,26,442
7,7,49
28,10,280
38,20,760
37,24,888
15,36,540
1,18,18
1,41,41
50,36,1800
0,29,0
18,8,144
25,2,50
34,33,1122
2,21,42
41,1,41
4,30,120
6,26,156
46,19,874
17,20,340
48,22,1056
25,5,125
35,49,1715
20,31,620
39,3,117
25,19,475
44,29,1276
31,41,1271
7,23,161
39,6,234
1,14,14
3,0,0
8,6,48
20,44,880
46,27,1242
14,10,140
5,12,60
46,23,1058
34,0,0
44,3,132
16,50,800
2,7,14
3,19,57
4,16,64
21,44,924
39,50,1950
24,17,408
44,10,440
8,37,296
29,7,203
8,20,160
9,48,432
37,26,962
40,28,1120
42,7,294
33,33,1089
15,36,540
30,42,1260
31,17,527
20,49,980
46,30,1380
14,5,70
16,49,784
18,45,810
5,22,110
35,15,525
42,41,1722
47,13,611
44,4,176
4,31,124
3,13,39
0,42,0
13,29,377
24,12,288
31,6,186
21,13,273
37,48,1776
33,32,1056
20,48,960
19,45,855
29,41,1189
9,32,288
6,8,48
14,23,322
24,28,672
39,32,1248
12,49,588
25,12,300
4,17,68
27,10,270
43,19,817
36,41,1476
6,9,54
29,6,174
47,7,329
15,1,15
29,11,319
17,1,17
30,42,1260
33,28,924
22,16,352
7,35,245
5,22,110
27,13,351
9,25,225
32,27,864
32,21,672
3,28,84
17,23,391
6,3,18
41,24,984
46,27,1242
12,18,216
12,25,300
11,38,418
17,33,561
38,31,1178
33,27,891
6,43,258
3,41,123
15,7,105
14,7,98
3,2,6
36,17,612
15,4,60
34,6,204
17,14,238
39,44,1716
45,25,1125
25,25,625
6,14,84
46,44,2024
17,31,527
13,10,130
50,13,650
22,40,880
18,45,810
38,18,684
46,0,0
6,11,66
32,44,1408
39,30,1170
47,19,893
44,15,660
10,20,200
43,4,172
10,11,110
21,29,609
9,0,0
42,30,1260
27,21,567
1,11,11
16,4,64
10,43,430
48,0,0
38,22,836
30,37,1110
0,31,0
15,30,450
7,2,14
1,36,36
43,18,774
14,33,462
32,10,320
48,9,432
49,6,294
6,19,114
47,21,987
28,31,868
47,22,1034
34,16,544
42,31,1302
16,23,368
29,0,0
22,19,418
45,21,945
33,49,1617
42,38,1596
30,7,210
17,43,731
33,46,1518
40,1,40
9,26,234
14,42,588
9,22,198
31,1,31
15,36,540
47,44,2068
27,23,621
13,47,611
5,12,60
24,40,960
6,17,102
40,43,1720
34,28,952
33,11,363
16,43,688
22,21,462
25,37,925
26,17,442
19,12,228
2,37,74
33,44,1452
21,39,819
7,27,189
50,29,1450
36,50,1800
50,22,1100
18,7,126
0,31,0
43,9,387
29,43,1247
9,33,297
18,39,702
35,42,1470
10,19,190
31,18,558
4,18,72
0,29,0
2,13,26
18,37,666
7,3,21
31,19,589
0,27,0
22,42,924
0,3,0
16,8,128
22,18,396
50,32,1600
42,49,2058
35,9,315
5,45,225
17,9,153
46,12,552
27,37,999
5,18,90
14,2,28
30,22,660
15,43,645
40,24,960
27,25,675
6,16,96
19,38,722
19,11,209
36,27,972
43,20,860
37,8,296
43,49,2107
12,16,192
8,26,208
35,12,420
19,19,361
5,19,95
36,40,1440
29,34,986
11,24,264
50,27,1350
6,8,48
33,28,924
44,20,880
32,43,1376
45,22,990
29,22,638
27,29,783
26,26,676
29,1,29
35,1,35
49,26,1274
5,48,240
8,39,312
19,50,950
15,37,555
32,23,736
8,39,312
34,36,1224
18,3,54
48,25,1200
8,25,200
42,0,0
29,48,1392
33,29,957
3,5,15
3,17,51
41,6,246
21,38,798
6,18,108
36,30,1080
44,21,924
3,7,21
47,37,1739
43,32,1376
47,45,2115
3,44,132
13,33,429
9,35,315
47,31,1457
8,14,112
43,40,1720
9,19,171
40,19,760
46,0,0
31,39,1209
44,12,528
7,4,28
0,9,0
38,7,266
33,6,198
15,13,195
6,30,180
1,32,32
28,25,700
3,7,21
19,25,475
30,11,330
15,34,510
16,39,624
43,28,1204
42,39,1638
7,27,189
9,40,360
1,11,11
9,47,423
42,15,630
10,32,320
47,44,2068
34,12,408
30,30,900
18,18,324
42,6,252
37,31,1147
23,42,966
17,25,425
24,44,1056
6,29,174
26,27,702
9,1,9
18,29,522
7,36,252
24,0,0
37,19,703
2,41,82
41,42,1722
39,28,1092
2,22,44
8,29,232
46,29,1334
17,0,0
10,22,220
32,32,1024
13,22,286
45,33,1485
24,32,768
4,11,44
41,9,369
22,41,902
46,36,1656
21,29,609
45,50,2250
8,17,136
50,48,2400
42,19,798
25,4,100
41,30,1230
24,30,720
38,42,1596
11,36,396
45,32,1440
49,42,2058
33,16,528
8,44,352
20,37,740
37,22,814
37,39,1443
25,4,100
2,1,2
46,10,460
14,6,84
42,6,252
31,43,1333
30,20,600
48,14,672
49,46,2254
50,15,750
6,11,66
46,24,1104
48,26,1248
4,3,12
39,16,624
7,2,14
47,4,188
28,48,1344
23,38,874
40,1,40
11,20,220
6,44,264
28,24,672
8,40,320
36,35,1260
12,12,144
16,31,496
28,43,1204
18,14,252
12,47,564
10,27,270
33,50,1650
12,5,60
37,1,37
40,42,1680
6,13,78
2,8,16
0,23,0
49,26,1274
36,34,1224
4,21,84
11,43,473
46,46,2116
41,33,1353
31,12,372
13,36,468
30,32,960
22,22,484
39,35,1365
8,4,32
28,27,756
40,24,960
4,36,144
5,8,40
50,33,1650
19,6,114
7,31,217
14,3,42
38,34,1292
21,1,21
14,18,252
16,24,384
45,22,990
4,10,40
18,4,72
34,36,1224
15,33,495
39,32,1248
19,25,475
39,3,117
34,44,1496
7,37,259
30,16,480
41,1,41
2,21,42
26,16,416
12,21,252
48,3,144
8,13,104
35,46,1610
21,48,1008
42,3,126
15,31,465
4,36,144
39,44,1716
48,2,96
22,4,88
26,38,988
47,39,1833
5,35,175
30,8,240
17,46,782
2,6,12
2,31,62
32,14,448
41,22,902
27,30,810
19,50,950
14,1,14
3,1,3
49,50,2450
12,34,408
38,24,912
43,43,1849
47,1,47
35,30,1050
3,24,72
49,24,1176
44,8,352
27,44,1188
27,35,945
8,7,56
28,7,196
39,23,897
22,12,264
21,27,567
3,15,45
14,5,70
37,0,0
14,26,364
47,48,2256
50,34,1700
36,2,72
0,46,0
15,3,45
4,3,12
8,28,224
11,18,198
2,20,40
22,38,836
41,15,615
18,8,144
38,25,950
30,42,1260
7,42,294
4,4,16
16,34,544
13,31,403
45,47,2115
22,14,308
28,45,1260
19,23,437
49,35,1715
18,41,738
15,33,495
17,20,340
44,34,1496
32,6,192
3,22,66
26,45,1170
39,31,1209
17,5,85
13,8,104
33,14,462
19,47,893
35,13,455
7,23,161
46,50,2300
9,2,18
15,44,660
28,41,1148
48,29,1392
7,1,7
31,2,62
17,17,289
37,24,888
19,5,95
3,17,51
39,24,936
31,1,31
24,24,576
28,2,56
14,13,182
24,11,264
42,27,1134
34,3,102
42,19,798
2,34,68
48,22,1056
1,38,38
48,21,1008
16,48,768
37,13,481
48,1,48
21,46,966
39,27,1053
27,50,1350
46,47,2162
48,3,144
6,35,210
24,46,1104
43,18,774
34,29,986
27,36,972
46,36,1656
49,33,1617
16,10,160
24,29,696
47,15,705
8,0,0
17,43,731
17,5,85
15,49,735
34,18,612
21,36,756
25,2,50
39,17,663
23,17,391
42,16,672
50,41,2050
49,38,1862
0,7,0
19,36,684
42,20,840
16,11,176
28,29,812
1,28,28
0,29,0
2,22,44
30,40,1200
35,13,455
26,3,78
37,5,185
17,39,663
35,20,700
4,28,112
11,16,176
49,50,2450
17,16,272
31,8,248
14,40,560
11,9,99
39,41,1599
3,14,42
7,41,287
2,11,22
43,32,1376
28,37,1036
20,2,40
35,45,1575
14,3,42
45,16,720
16,1,16
43,22,946
34,45,1530
2,38,76
15,22,330
6,4,24
32,28,896
7,32,224
4,15,60
13,20,260
36,23,828
43,26,1118
4,41,164
27,18,486
9,1,9
20,38,760
50,23,1150
21,26,546
41,23,943
30,18,540
39,1,39
10,23,230
2,18,36
9,37,333
1,6,6
38,13,494
20,32,640
45,49,2205
47,32,1504
50,37,1850
45,22,990
13,24,312
37,2,74
42,46,1932
9,24,216
48,41,1968
5,4,20
14,36,504
32,36,1152
40,35,1400
46,26,1196
34,46,1564
7,33,231
3,38,114
30,42,1260
33,33,1089
28,20,560
17,12,204
36,18,648
15,21,315
15,49,735
23,14,322
29,20,580
47,7,329
44,15,660
28,46,1288
26,23,598
5,22,110
35,32,1120
4,23,92
41,30,1230
38,14,532
28,50,1400
26,14,364
36,8,288
34,15,510
49,26,1274
43,37,1591
42,8,336
38,16,608
50,18,900
21,20,420
7,5,35
26,26,676
32,9,288
36,31,1116
40,49,1960
12,11,132
29,0,0
10,7,70
26,16,416
48,35,1680
45,30,1350
47,6,282
8,2,16
27,1,27
44,10,440
4,8,32
32,33,1056
24,27,648
22,8,176
25,44,1100
35,15,525
45,18,810
7,21,147
21,37,777
38,39,1482
6,46,276
2,4,8
47,22,1034
28,26,728
40,28,1120
47,27,1269
18,48,864
30,44,1320
8,46,368
11,46,506
49,37,1813
32,5,160
9,0,0
37,37,1369
23,43,989
41,29,1189
24,20,480
28,11,308
32,46,1472
37,17,629
49,6,294
14,19,266
31,21,651
3,36,108
33,33,1089
37,32,1184
27,18,486
20,24,480
20,48,960
11,9,99
2,47,94
46,13,598
27,33,891
17,36,612
39,20,780
6,22,132
18,10,180
7,18,126
17,31,527
28,14,392
10,18,180
16,38,608
48,6,288
14,42,588
17,9,153
6,13,78
35,32,1120
48,10,480
1,38,38
2,34,68
34,12,408
0,31,0
1,23,23
13,18,234
36,27,972
46,28,1288
33,8,264
29,18,522
7,45,315
45,7,315
28,27,756
31,16,496
5,8,40
17,46,782
42,7,294
22,5,110
47,50,2350
14,46,644
4,20,80
10,32,320
21,17,357
29,40,1160
47,32,1504
43,49,2107
4,45,180
44,20,880
2,27,54
6,45,270
50,33,1650
20,12,240
35,42,1470
40,2,80
40,40,1600
0,15,0
8,37,296
24,14,336
43,12,516
16,30,480
9,31,279
11,46,506
31,18,558
8,12,96
40,5,200
33,46,1518
47,13,611
0,27,0
4,31,124
35,39,1365
13,45,585
11,2,22
26,44,1144
16,39,624
24,40,960
37,15,555
40,22,880
30,33,990
42,11,462
19,14,266
18,42,756
31,31,961
50,40,2000
25,38,950
22,34,748
30,18,540
6,14,84
7,48,336
48,18,864
26,28,728
20,15,300
42,27,1134
7,11,77
29,20,580
42,7,294
22,44,968
25,45,1125
8,49,392
30,31,930
38,26,988
43,15,645
1,18,18
17,32,544
13,50,650
26,3,78
35,49,1715
20,16,320
43,20,860
26,25,650
28,27,756
25,16,400
3,17,51
31,46,1426
14,21,294
40,2,80
19,28,532
26,14,364
36,10,360
34,13,442
49,40,1960
7,39,273
39,21,819
8,38,304
34,1,34
46,1,46
24,5,120
49,45,2205
21,22,462
49,49,2401
35,4,140
41,3,123
33,13,429
23,34,782
12,10,120
34,25,850
45,14,630
18,10,180
23,21,483
26,13,338
35,46,1610
15,0,0
2,1,2
48,33,1584
6,32,192
25,50,1250
31,2,62
10,18,180
19,1,19
14,40,560
49,44,2156
15,2,30
17,47,799
7,50,350
24,41,984
25,8,200
47,17,799
5,4,20
4,32,128
46,45,2070
48,46,2208
26,1,26
0,47,0
34,38,1292
9,6,54
47,37,1739
50,25,1250
12,38,456
19,50,950
20,27,540
32,47,1504
1,19,19
17,29,493
12,6,72
16,41,656
36,30,1080
24,18,432
27,5,135
14,26,364
35,17,595
30,18,540
44,34,1496
32,15,480
24,1,24
31,46,1426
25,23,575
48,34,1632
45,6,270
28,14,392
36,1,36
25,49,1225
14,28,392
23,30,690
36,6,216
41,19,779
21,9,189
40,5,200
6,35,210
10,13,130
31,37,1147
15,5,75
9,25,225
39,30,1170
33,46,1518
36,48,1728
14,3,42
49,31,1519
16,26,416
19,47,893
21,9,189
2,20,40
44,36,1584
38,26,988
0,17,0
44,13,572
48,35,1680
50,31,1550
34,31,1054
20,41,820
15,20,300
29,45,1305
30,32,960
35,47,1645
46,5,230
6,27,162
44,4,176
24,8,192
48,0,0
10,33,330
47,7,329
10,12,120
28,7,196
2,27,54
31,10,310
40,33,1320
31,8,248
47,35,1645
26,25,650
0,18,0
7,27,189
18,46,828
43,17,731
33,20,660
39,23,897
36,41,1476
10,9,90
18,33,594
43,13,559
39,45,1755
23,33,759
38,16,608
30,29,870
13,21,273
47,46,2162
8,10,80
33,45,1485
30,0,0
20,26,520
11,9,99
30,4,120
0,19,0
44,12,528
12,44,528
6,34,204
29,21,609
6,3,18
39,29,1131
38,10,380
4,22,88
40,35,1400
14,22,308
40,0,0
12,17,204
18,27,486
37,46,1702
19,23,437
39,49,1911
25,16,400
35,34,1190
41,42,1722
12,4,48
37,9,333
6,46,276
13,17,221
11,16,176
36,6,216
8,33,264
37,41,1517
49,24,1176
21,36,756
49,37,1813
38,17,646
47,39,1833
42,30,1260
13,10,130
0,50,0
14,13,182
5,39,195
9,9,81
10,30,300
0,20,0
4,3,12
8,32,256
28,27,756
42,30,1260
20,19,380
32,48,1536
7,15,105
35,25,875
24,49,1176
24,45,1080
30,22,660
19,33,627
20,33,660
5,38,190
13,10,130
40,17,680
45,9,405
27,35,945
28,31,868
44,50,2200
16,43,688
7,35,245
27,41,1107
22,11,242
1,23,23
29,49,1421
42,22,924
46,27,1242
13,39,507
35,12,420
24,23,552
11,47,517
0,12,0
28,23,644
33,12,396
0,37,0
19,21,399
6,23,138
16,32,512
0,38,0
17,2,34
41,17,697
41,30,1230
25,2,50
44,45,1980
16,17,272
40,3,120
36,1,36
45,30,1350
38,40,1520
29,31,899
11,30,330
47,41,1927
48,34,1632
6,2,12
23,1,23
39,45,1755
9,45,405
47,11,517
8,5,40
26,7,182
3,28,84
40,45,1800
3,20,60
6,34,204
17,12,204
41,39,1599
47,1,47
21,43,903
20,45,900
10,37,370
46,23,1058
33,0,0
42,25,1050
26,42,1092
42,3,126
4,12,48
48,32,1536
9,46,414
17,5,85
11,28,308
2,17,34
38,12,456
44,32,1408
26,11,286
40,47,1880
0,19,0
17,35,595
22,7,154
21,29,609
36,44,1584
5,36,180
29,5,145
7,5,35
11,46,506
5,11,55
20,37,740
40,1,40
49,10,490
50,0,0
13,40,520
23,29,667
5,46,230
15,19,285
43,41,1763
12,47,564
48,47,2256
8,19,152
3,24,72
45,18,810
11,17,187
8,36,288
20,26,520
14,12,168
17,12,204
11,18,198
16,44,704
28,16,448
5,31,155
22,37,814
23,22,506
49,41,2009
33,28,924
40,43,1720
10,2,20
37,24,888
9,34,306
36,13,468
44,27,1188
22,41,902
43,50,2150
18,13,234
21,44,924
32,35,1120
47,50,2350
17,5,85
32,49,1568
13,16,208
13,29,377
16,2,32
7,33,231
42,40,1680
11,30,330
8,29,232
37,20,740
23,36,828
24,42,1008
37,2,74
20,44,880
6,40,240
22,0,0
10,26,260
30,21,630
21,41,861
6,11,66
22,19,418
10,29,290
34,11,374
48,1,48
28,39,1092
29,37,1073
36,44,1584
27,46,1242
25,30,750
15,16,240
46,23,1058
38,21,798
30,43,1290
25,19,475
2,14,28
48,32,1536
6,26,156
27,49,1323
17,36,612
25,37,925
1,10,10
32,10,320
19,38,722
44,33,1452
12,36,432
48,8,384
8,42,336
21,50,1050
3,5,15
19,50,950
49,9,441
22,29,638
25,10,250
29,0,0
42,9,378
12,11,132
19,19,361
5,11,55
15,13,195
27,5,135
46,15,690
9,43,387
35,49,1715
23,0,0
30,10,300
22,6,132
30,35,1050
43,25,1075
44,13,572
30,42,1260
24,29,696
45,15,675
48,6,288
24,8,192
20,48,960
8,25,200
49,20,980
18,43,774
46,27,1242
38,25,950
34,4,136
22,31,682
42,47,1974
37,1,37
14,38,532
11,49,539
15,23,345
23,21,483
32,0,0
39,38,1482
48,25,1200
4,41,164
14,8,112
31,12,372
2,13,26
19,27,513
5,21,105
24,41,984
11,27,297
9,18,162
19,24,456
43,30,1290
2,16,32
26,11,286
10,25,250
43,33,1419
6,29,174
5,22,110
43,46,1978
6,41,246
25,0,0
10,20,200
8,36,288
32,24,768
43,29,1247
0,31,0
41,42,1722
25,27,675
49,3,147
19,27,513
16,47,752
40,7,280
38,28,1064
32,23,736
49,30,1470
45,21,945
34,23,782
7,50,350
11,27,297
34,48,1632
24,43,1032
5,9,45
0,21,0
45,37,1665
16,12,192
32,39,1248
46,29,1334
27,3,81
29,18,522
2,7,14
31,29,899
23,3,69
38,43,1634
23,16,368
27,21,567
43,18,774
49,1,49
34,17,578
11,18,198
22,26,572
1,28,28
20,19,380
40,2,80
38,7,266
22,46,1012
2,34,68
47,25,1175
15,11,165
5,34,170
6,8,48
46,9,414
40,31,1240
27,17,459
22,29,638
44,39,1716
15,46,690
33,36,1188
29,2,58
4,20,80
23,2,46
9,38,342
46,40,1840
6,24,144
32,46,1472
5,21,105
40,47,1880
19,27,513
25,1,25
11,47,517
16,46,736
41,47,1927
5,27,135
7,50,350
12,36,432
16,19,304
39,32,1248
34,50,1700
15,44,660
3,23,69
36,30,1080
13,48,624
27,17,459
47,44,2068
49,11,539
17,32,544
42,2,84
38,25,950
11,43,473
18,17,306
0,26,0
13,1,13
50,26,1300
42,8,336
17,17,289
29,38,1102
50,40,2000
20,6,120
14,14,196
1,45,45
20,14,280
4,39,156
18,46,828
45,38,1710
29,37,1073
26,40,1040
38,21,798
34,24,816
30,35,1050
0,21,0
21,20,420
22,28,616
9,29,261
47,31,1457
13,34,442
44,10,440
43,24,1032
16,25,400
2,42,84
36,5,180
40,31,1240
35,22,770
5,13,65
47,33,1551
23,19,437
18,48,864
20,28,560
43,29,1247
1,9,9
39,37,1443
10,39,390
22,36,792
27,26,702
48,1,48
48,18,864
35,47,1645
31,15,465
24,34,816
8,24,192
38,7,266
6,25,150
13,13,169
7,36,252
18,11,198
10,49,490
49,47,2303
25,35,875
26,22,572
48,13,624
26,38,988
17,20,340
49,23,1127
40,6,240
42,43,1806
40,48,1920
40,20,800
32,34,1088
34,25,850
14,25,350
31,48,1488
29,18,522
28,10,280
11,25,275
18,0,0
34,21,714
48,29,1392
41,11,451
43,6,258
24,37,888
41,26,1066
26,26,676
12,40,480
1,39,39
14,8,112
39,39,1521
32,5,160
38,36,1368
46,26,1196
1,20,20
39,15,585
10,36,360
40,30,1200
43,5,215
23,1,23
47,38,1786
50,41,2050
24,35,840
32,12,384
10,29,290
23,46,1058
15,11,165
30,45,1350
12,20,240
8,18,144
4,1,4
13,36,468
29,29,841
15,43,645
38,28,1064
15,50,750
11,29,319
32,41,1312
7,38,266
21,10,210
15,29,435
46,4,184
0,47,0
2,43,86
43,26,1118
33,30,990
24,4,96
50,26,1300
16,45,720
34,7,238
45,49,2205
38,41,1558
34,45,1530
1,28,28
30,46,1380
3,18,54
25,46,1150
49,2,98
23,25,575
45,32,1440
40,41,1640
28,27,756
50,7,350
6,9,54
16,48,768
37,48,1776
50,7,350
46,10,460
23,26,598
42,21,882
9,15,135
50,30,1500
13,16,208
6,21,126
41,44,1804
4,29,116
45,31,1395
48,15,720
48,16,768
21,18,378
44,28,1232
21,50,1050
28,44,1232
16,36,576
17,38,646
2,48,96
8,9,72
33,18,594
1,14,14
23,36,828
23,45,1035
18,19,342
45,10,450
36,40,1440
19,30,570
45,28,1260
43,18,774
9,47,423
44,8,352
9,38,342
18,24,432
16,40,640
14,1,14
13,37,481
19,9,171
37,0,0
16,23,368
46,32,1472
47,33,1551
25,30,750
39,10,390
22,41,902
9,37,333
32,20,640
33,23,759
24,31,744
41,10,410
33,30,990
11,30,330
24,0,0
42,4,168
21,14,294
19,13,247
14,9,126
17,38,646
49,46,2254
50,7,350
41,12,492
22,31,682
29,36,1044
40,0,0
47,50,2350
50,33,1650
14,47,658
12,23,276
42,2,84
25,40,1000
6,21,126
32,4,128
17,35,595
34,47,1598
34,5,170
3,28,84
36,33,1188
15,15,225
16,47,752
11,44,484
41,15,615
14,44,616
45,29,1305
11,2,22
38,17,646
35,17,595
5,47,235
12,46,552
4,8,32
33,19,627
3,13,39
14,15,210
37,48,1776
37,30,1110
29,6,174
34,50,1700
3,20,60
50,40,2000
4,12,48
30,7,210
28,5,140
30,12,360
6,34,204
37,13,481
38,31,1178
19,36,684
0,37,0
27,7,189
46,28,1288
49,41,2009
12,37,444
40,39,1560
48,29,1392
0,16,0
48,26,1248
38,17,646
31,40,1240
11,21,231
32,30,960
32,18,576
41,19,779
16,34,544
15,21,315
17,43,731
35,32,1120
19,40,760
28,7,196
48,11,528
31,0,0
20,32,640
30,31,930
10,11,110
4,48,192
27,43,1161
19,6,114
28,21,588
40,43,1720
34,11,374
12,49,588
6,48,288
14,13,182
19,32,608
19,20,380
49,33,1617
30,6,180
43,19,817
39,13,507
36,43,1548
9,20,180
10,12,120
49,25,1225
50,10,500
10,39,390
42,10,420
20,33,660
30,41,1230
38,50,1900
26,49,1274
46,17,782
14,16,224
30,19,570
23,9,207
19,21,399
46,22,1012
47,20,940
28,19,532
27,36,972
25,48,1200
26,0,0
48,25,1200
3,26,78
22,41,902
8,29,232
49,17,833
1,45,45
12,13,156
42,45,1890
16,18,288
23,1,23
20,27,540
50,24,1200
20,35,700
35,47,1645
12,13,156
39,32,1248
28,17,476
6,4,24
15,10,150
20,46,920
30,46,1380
37,30,1110
2,49,98
42,24,1008
44,45,1980
31,15,465
17,38,646
37,24,888
3,6,18
3,40,120
21,17,357
34,23,782
28,18,504
7,30,210
8,47,376
4,20,80
49,46,2254
26,9,234
9,37,333
19,36,684
12,35,420
5,28,140
15,20,300
36,34,1224
48,42,2016
16,35,560
33,18,594
44,1,44
8,49,392
49,4,196
50,44,2200
45,47,2115
20,23,460
49,28,1372
47,13,611
11,20,220
29,14,406
29,23,667
21,12,252
43,45,1935
16,16,256
38,47,1786
1,8,8
7,41,287
26,27,702
25,31,775
3,33,99
3,32,96
23,1,23
36,27,972
2,32,64
20,50,1000
34,31,1054
18,36,648
21,40,840
4,47,188
4,36,144
5,35,175
49,7,343
34,10,340
32,5,160
36,29,1044
39,41,1599
12,48,576
4,49,196
43,27,1161
17,29,493
28,47,1316
9,41,369
21,4,84
11,41,451
36,21,756
29,33,957
49,44,2156
47,27,1269
1,25,25
36,18,648
0,39,0
24,1,24
0,14,0
20,27,540
9,16,144
14,37,518
43,49,2107
20,34,680
29,41,1189
42,12,504
49,36,1764
22,45,990
36,9,324
12,49,588
9,13,117
19,11,209
6,1,6
34,38,1292
2,49,98
8,34,272
22,4,88
20,20,400
14,42,588
13,12,156
19,10,190
27,17,459
14,13,182
49,22,1078
1,8,8
28,7,196
24,1,24
28,47,1316
47,13,611
24,3,72
28,28,784
25,12,300
13,49,637
24,37,888
7,5,35
11,32,352
37,46,1702
33,7,231
10,48,480
13,7,91
31,47,1457
38,22,836
47,20,940
26,12,312
13,5,65
32,23,736
30,16,480
32,7,224
29,1,29
0,24,0
26,25,650
6,22,132
23,19,437
4,27,108
41,19,779
14,44,616
5,41,205
41,24,984
30,1,30
17,46,782
41,20,820
2,9,18
15,11,165
36,0,0
8,33,264
9,8,72
44,30,1320
48,2,96
3,38,114
13,47,611
42,18,756
23,39,897
26,10,260
26,11,286
11,33,363
9,47,423
42,11,462
23,7,161
50,10,500
1,31,31
13,19,247
25,40,1000
23,16,368
39,20,780
1,50,50
1,21,21
1,30,30
2,47,94
9,26,234
2,34,68
24,48,1152
38,46,1748
33,10,330
10,6,60
0,22,0
14,5,70
26,4,104
7,30,210
29,26,754
34,28,952
8,38,304
40,0,0
19,30,570
30,16,480
8,20,160
42,34,1428
23,39,897
42,45,1890
6,30,180
31,47,1457
36,12,432
8,14,112
32,8,256
9,14,126
42,5,210
47,6,282
45,25,1125
18,39,702
6,15,90
14,16,224
11,46,506
42,19,798
21,45,945
29,42,1218
37,33,1221
33,36,1188
17,48,816
8,20,160
27,23,621
42,9,378
37,47,1739
2,47,94
24,40,960
3,50,150
12,11,132
0,9,0
40,2,80
50,15,750
10,25,250
20,0,0
36,30,1080
30,22,660
12,40,480
36,25,900
28,13,364
29,39,1131
16,34,544
28,7,196
47,17,799
41,49,2009
32,21,672
21,11,231
16,21,336
31,49,1519
35,29,1015
42,6,252
42,21,882
48,33,1584
16,4,64
50,23,1150
27,41,1107
1,34,34
8,6,48
14,29,406
7,7,49
35,45,1575
18,8,144
22,19,418
28,27,756
35,5,175
32,11,352
25,32,800
12,9,108
43,14,602
49,1,49
12,46,552
47,22,1034
33,38,1254
49,9,441
36,33,1188
33,3,99
34,23,782
34,14,476
44,33,1452
10,23,230
10,6,60
43,10,430
40,40,1600
39,14,546
48,45,2160
9,34,306
39,27,1053
12,17,204
3,25,75
18,24,432
33,26,858
30,29,870
20,8,160
46,19,874
0,4,0
16,45,720
35,42,1470
19,13,247
