a,b,sum
181,143,324
177,157,334
91,57,148
170,150,320
44,96,140
78,187,265
176,75,251
32,45,77
186,0,186
179,146,325
100,197,297
145,8,153
46,154,200
81,156,237
56,163,219
144,26,170
127,36,163
84,190,274
19,60,79
88,81,169
42,162,204
22,181,203
171,163,334
186,85,271
114,2,116
67,53,120
63,177,240
17,89,106
65,27,92
184,0,184
12,98,110
112,187,299
107,42,149
105,126,231
96,89,185
139,96,235
25,122,147
147,166,313
194,175,369
57,41,98
115,18,133
8,75,83
5,81,86
66,26,92
18,87,105
43,96,139
41,187,228
19,140,159
23,86,109
152,157,309
123,180,303
7,110,117
167,42,209
155,111,266
40,13,53
25,84,109
52,48,100
104,178,282
141,184,325
186,138,324
67,169,236
72,76,148
60,24,84
12,100,112
146,140,286
125,39,164
13,92,105
0,109,109
22,75,97
169,160,329
153,122,275
51,24,75
6,52,58
43,163,206
74,20,94
121,29,150
78,200,278
101,120,221
125,169,294
67,23,90
164,139,303
99,47,146
94,97,191
94,47,141
114,11,125
67,112,179
119,67,186
57,68,125
144,15,159
38,192,230
178,170,348
24,21,45
171,88,259
138,105,243
193,150,343
58,141,199
15,99,114
133,107,240
137,175,312
121,146,267
60,121,181
76,20,96
101,182,283
8,128,136
146,132,278
146,173,319
158,37,195
30,193,223
114,44,158
42,54,96
49,32,81
10,108,118
20,174,194
111,51,162
160,37,197
152,66,218
81,186,267
17,22,39
99,142,241
101,141,242
83,70,153
133,117,250
3,179,182
159,150,309
133,200,333
107,28,135
106,38,144
37,145,182
150,149,299
194,25,219
27,144,171
199,25,224
73,137,210
88,105,193
67,98,165
167,124,291
146,155,301
121,9,130
44,70,114
103,36,139
158,155,313
174,177,351
102,9,111
101,84,185
176,60,236
12,190,202
121,68,189
95,5,100
86,77,163
79,71,150
125,178,303
175,25,200
58,34,92
76,190,266
113,198,311
82,68,150
186,106,292
154,165,319
22,48,70
113,54,167
104,189,293
124,194,318
132,95,227
14,131,145
40,16,56
79,181,260
129,103,232
34,199,233
134,145,279
7,44,51
49,51,100
14,63,77
8,116,124
12,92,104
180,50,230
70,94,164
118,129,247
101,162,263
31,174,205
7,61,68
95,125,220
152,114,266
45,121,166
150,141,291
89,88,177
41,66,107
191,176,367
23,72,95
7,98,105
12,41,53
146,199,345
54,56,110
165,57,222
173,52,225
68,166,234
104,131,235
5,199,204
196,174,370
2,121,123
33,165,198
44,153,197
2,57,59
64,155,219
78,182,260
181,164,345
70,108,178
96,89,185
117,64,181
55,119,174
77,173,250
133,159,292
101,149,250
26,1,27
130,169,299
95,143,238
165,152,317
155,72,227
76,175,251
27,123,150
16,86,102
70,163,233
83,70,153
66,167,233
182,166,348
76,48,124
38,132,170
195,61,256
14,153,167
103,169,272
81,174,255
35,184,219
6,167,173
127,75,202
66,107,173
103,99,202
188,9,197
149,181,330
146,48,194
87,185,272
182,56,238
175,136,311
163,200,363
121,171,292
91,129,220
76,43,119
168,142,310
46,75,121
24,120,144
32,189,221
66,185,251
143,195,338
46,174,220
85,167,252
22,56,78
90,57,147
190,78,268
107,84,191
95,66,161
149,75,224
118,30,148
120,13,133
162,149,311
148,158,306
18,120,138
49,128,177
30,174,204
97,135,232
76,105,181
13,38,51
35,51,86
87,104,191
145,117,262
36,80,116
183,46,229
199,20,219
124,85,209
161,45,206
80,162,242
14,1,15
115,70,185
53,194,247
198,43,241
147,195,342
40,125,165
195,199,394
22,33,55
157,111,268
162,109,271
103,109,212
122,98,220
1,9,10
136,51,187
187,95,282
3,82,85
193,135,328
48,4,52
173,1,174
160,187,347
63,57,120
177,88,265
79,33,112
26,98,124
128,150,278
78,42,120
16,11,27
76,74,150
116,186,302
133,152,285
134,86,220
111,175,286
34,87,121
125,91,216
192,48,240
42,103,145
4,58,62
57,186,243
33,54,87
187,5,192
150,129,279
43,31,74
93,182,275
166,9,175
96,163,259
65,197,262
136,159,295
12,152,164
12,169,181
27,167,194
5,12,17
176,29,205
106,113,219
97,31,128
140,64,204
121,179,300
39,52,91
177,175,352
161,2,163
77,107,184
169,25,194
169,133,302
69,159,228
155,179,334
35,107,142
26,130,156
184,158,342
30,72,102
29,200,229
27,127,154
50,155,205
51,199,250
67,133,200
51,91,142
180,104,284
75,41,116
10,140,150
127,53,180
176,123,299
84,60,144
0,3,3
171,22,193
28,146,174
171,126,297
38,23,61
199,130,329
19,185,204
185,25,210
65,164,229
59,116,175
75,67,142
118,12,130
25,44,69
10,74,84
92,173,265
80,109,189
189,29,218
24,194,218
11,2,13
35,169,204
165,43,208
84,91,175
112,159,271
68,187,255
23,95,118
87,46,133
29,102,131
102,116,218
69,98,167
176,122,298
107,166,273
42,28,70
33,178,211
185,15,200
40,26,66
106,151,257
123,145,268
173,112,285
46,156,202
97,199,296
91,156,247
7,175,182
186,33,219
123,124,247
28,105,133
112,11,123
16,66,82
167,80,247
3,180,183
173,134,307
196,190,386
147,185,332
144,57,201
171,86,257
132,133,265
176,179,355
158,24,182
110,169,279
186,63,249
123,88,211
169,173,342
164,98,262
38,142,180
156,13,169
2,164,166
40,129,169
120,126,246
42,19,61
192,125,317
82,61,143
84,71,155
12,129,141
57,140,197
164,96,260
103,60,163
20,117,137
113,146,259
114,22,136
127,114,241
80,30,110
127,190,317
167,4,171
26,103,129
105,9,114
142,140,282
0,23,23
154,158,312
163,77,240
130,143,273
52,167,219
171,116,287
87,93,180
13,57,70
116,84,200
143,196,339
158,153,311
121,183,304
168,93,261
183,115,298
29,24,53
194,168,362
56,0,56
87,90,177
162,74,236
140,133,273
95,179,274
27,11,38
42,126,168
35,183,218
190,184,374
104,27,131
65,156,221
50,48,98
30,100,130
55,117,172
200,48,248
183,86,269
27,193,220
106,11,117
162,172,334
150,31,181
197,115,312
117,168,285
150,129,279
34,127,161
1,135,136
188,12,200
141,110,251
149,123,272
130,199,329
45,177,222
148,44,192
187,32,219
26,99,125
168,153,321
155,82,237
129,98,227
107,155,262
177,195,372
63,70,133
101,87,188
75,115,190
34,35,69
105,154,259
179,191,370
131,76,207
179,140,319
80,182,262
188,141,329
161,55,216
51,53,104
159,182,341
74,175,249
88,172,260
33,181,214
166,45,211
128,138,266
177,163,340
82,181,263
29,194,223
90,143,233
122,149,271
146,170,316
181,106,287
172,191,363
136,73,209
108,3,111
133,27,160
6,97,103
37,13,50
171,14,185
51,68,119
192,41,233
73,174,247
64,37,101
15,176,191
200,75,275
52,192,244
138,8,146
91,115,206
26,157,183
172,189,361
143,57,200
190,165,355
143,99,242
60,130,190
200,178,378
73,177,250
170,12,182
97,99,196
106,175,281
80,141,221
13,3,16
190,64,254
51,158,209
199,113,312
57,162,219
180,181,361
165,94,259
193,150,343
139,189,328
154,50,204
198,185,383
49,75,124
114,45,159
174,19,193
47,44,91
188,131,319
30,96,126
10,109,119
71,142,213
67,33,100
41,149,190
65,1,66
84,119,203
181,39,220
10,39,49
82,152,234
13,198,211
160,157,317
169,77,246
125,146,271
140,91,231
18,200,218
181,81,262
134,56,190
47,133,180
17,129,146
40,106,146
139,137,276
103,23,126
89,56,145
54,169,223
84,84,168
92,75,167
55,192,247
158,135,293
121,143,264
192,166,358
2,29,31
171,88,259
114,61,175
164,157,321
159,62,221
10,174,184
82,97,179
29,98,127
65,138,203
185,72,257
6,132,138
197,95,292
131,130,261
114,124,238
11,75,86
166,49,215
82,131,213
21,24,45
42,197,239
137,136,273
1,160,161
16,53,69
171,161,332
198,54,252
175,108,283
26,52,78
137,179,316
189,198,387
111,165,276
18,191,209
175,39,214
6,117,123
183,84,267
9,22,31
18,13,31
45,64,109
142,18,160
147,58,205
66,104,170
99,115,214
161,103,264
110,80,190
4,99,103
172,30,202
136,1,137
164,184,348
158,16,174
193,190,383
149,11,160
179,18,197
91,128,219
27,74,101
175,77,252
155,22,177
72,195,267
112,97,209
101,169,270
7,121,128
40,136,176
56,34,90
191,100,291
139,75,214
162,36,198
76,173,249
186,165,351
95,2,97
141,142,283
36,31,67
10,1,11
146,152,298
100,137,237
140,21,161
78,53,131
191,189,380
185,88,273
54,105,159
165,131,296
36,41,77
47,56,103
157,64,221
49,29,78
46,171,217
145,13,158
192,140,332
118,165,283
140,18,158
74,171,245
17,64,81
25,50,75
185,148,333
124,84,208
91,32,123
171,167,338
60,25,85
72,158,230
17,49,66
81,124,205
115,84,199
157,168,325
78,177,255
149,39,188
144,145,289
93,80,173
109,43,152
1,80,81
63,56,119
182,189,371
164,111,275
70,92,162
34,173,207
187,84,271
122,118,240
114,91,205
198,78,276
124,141,265
27,44,71
165,155,320
20,71,91
35,137,172
50,67,117
187,160,347
19,186,205
19,4,23
129,161,290
7,148,155
148,103,251
196,151,347
54,9,63
141,66,207
139,138,277
120,167,287
198,38,236
93,100,193
57,197,254
150,187,337
74,34,108
118,128,246
130,23,153
101,93,194
128,2,130
169,61,230
157,175,332
42,193,235
131,35,166
114,40,154
45,144,189
144,168,312
37,188,225
187,123,310
91,10,101
56,194,250
124,59,183
16,67,83
94,59,153
10,171,181
52,132,184
92,99,191
120,116,236
11,10,21
166,82,248
26,180,206
133,162,295
70,189,259
67,148,215
139,145,284
44,96,140
167,96,263
93,150,243
167,19,186
132,64,196
96,57,153
132,103,235
90,88,178
124,123,247
154,1,155
128,35,163
112,42,154
58,19,77
131,164,295
71,54,125
38,47,85
40,92,132
154,183,337
30,169,199
58,106,164
84,184,268
29,123,152
172,122,294
122,53,175
151,41,192
165,105,270
5,62,67
11,32,43
146,151,297
41,34,75
161,131,292
10,146,156
37,14,51
42,66,108
46,132,178
103,153,256
144,163,307
4,184,188
186,169,355
72,21,93
55,114,169
155,120,275
123,43,166
56,105,161
153,36,189
149,196,345
46,159,205
168,130,298
67,42,109
185,175,360
87,116,203
152,151,303
17,58,75
96,98,194
33,27,60
4,51,55
133,129,262
175,107,282
38,155,193
24,45,69
121,157,278
153,9,162
200,136,336
128,192,320
30,23,53
123,168,291
33,154,187
138,0,138
198,173,371
166,110,276
133,107,240
94,11,105
178,135,313
109,58,167
123,196,319
97,89,186
150,189,339
194,178,372
147,25,172
108,34,142
65,122,187
196,59,255
21,72,93
153,139,292
104,65,169
48,1,49
181,190,371
1,147,148
133,30,163
133,1,134
96,167,263
52,176,228
80,104,184
92,27,119
39,109,148
166,149,315
64,66,130
137,108,245
144,93,237
156,70,226
174,101,275
193,52,245
105,141,246
200,142,342
123,45,168
94,143,237
142,123,265
64,78,142
147,88,235
198,180,378
101,188,289
35,168,203
30,191,221
58,114,172
200,179,379
41,25,66
54,130,184
102,86,188
140,157,297
178,175,353
180,13,193
41,99,140
162,1,163
23,37,60
120,153,273
111,22,133
16,67,83
56,94,150
20,155,175
9,185,194
98,102,200
157,167,324
133,73,206
182,152,334
14,198,212
44,163,207
126,112,238
2,51,53
168,132,300
73,49,122
8,200,208
153,130,283
132,178,310
59,157,216
43,172,215
9,92,101
61,167,228
0,40,40
22,70,92
199,102,301
90,171,261
101,103,204
150,51,201
132,3,135
188,180,368
17,23,40
140,72,212
185,143,328
149,89,238
88,70,158
57,155,212
49,116,165
103,147,250
1,66,67
44,104,148
129,27,156
143,18,161
128,75,203
87,29,116
131,65,196
137,147,284
64,177,241
113,96,209
144,123,267
197,62,259
193,86,279
198,117,315
174,117,291
150,7,157
123,29,152
66,17,83
97,162,259
56,173,229
179,58,237
80,105,185
90,132,222
137,2,139
179,67,246
63,73,136
23,102,125
172,191,363
87,19,106
141,45,186
121,80,201
90,55,145
146,68,214
46,191,237
174,48,222
127,188,315
51,60,111
188,61,249
67,52,119
58,51,109
63,158,221
91,39,130
199,27,226
30,20,50
173,169,342
126,157,283
1,195,196
138,10,148
123,95,218
158,80,238
126,147,273
70,125,195
46,195,241
130,71,201
101,56,157
192,147,339
32,13,45
134,108,242
122,138,260
8,128,136
88,100,188
175,198,373
44,117,161
30,178,208
132,117,249
80,176,256
2,3,5
172,53,225
97,148,245
25,83,108
92,156,248
66,47,113
140,67,207
60,68,128
120,156,276
87,93,180
47,127,174
108,53,161
107,179,286
192,95,287
93,102,195
71,115,186
46,146,192
33,147,180
175,58,233
25,184,209
69,60,129
142,110,252
97,50,147
37,189,226
38,121,159
2,45,47
107,127,234
34,161,195
132,136,268
184,80,264
124,76,200
64,143,207
145,12,157
101,25,126
176,41,217
15,55,70
65,121,186
161,24,185
115,190,305
85,66,151
92,92,184
143,142,285
65,88,153
5,105,110
31,89,120
173,155,328
50,147,197
147,166,313
166,137,303
44,199,243
72,90,162
83,172,255
130,124,254
198,188,386
114,20,134
97,157,254
73,118,191
161,37,198
42,163,205
86,107,193
161,156,317
146,103,249
18,20,38
41,87,128
58,80,138
81,167,248
74,181,255
68,154,222
165,101,266
69,113,182
199,92,291
191,150,341
133,115,248
105,42,147
47,5,52
32,186,218
60,169,229
64,190,254
179,191,370
20,53,73
42,101,143
26,24,50
16,121,137
140,13,153
6,197,203
101,134,235
195,21,216
26,67,93
158,39,197
21,167,188
99,79,178
58,63,121
188,72,260
113,160,273
32,33,65
134,43,177
7,8,15
169,91,260
83,121,204
119,138,257
69,140,209
113,34,147
178,138,316
45,151,196
152,116,268
161,191,352
162,144,306
111,134,245
163,163,326
136,79,215
88,123,211
138,58,196
22,113,135
78,93,171
105,66,171
39,77,116
2,0,2
133,194,327
34,88,122
73,120,193
136,2,138
176,125,301
193,122,315
76,2,78
196,110,306
74,152,226
59,1,60
140,95,235
48,105,153
143,111,254
101,63,164
41,183,224
188,165,353
99,96,195
56,67,123
20,108,128
160,61,221
132,195,327
156,177,333
175,69,244
72,166,238
190,136,326
68,105,173
48,17,65
46,34,80
74,28,102
163,116,279
158,115,273
69,179,248
159,125,284
48,82,130
4,38,42
12,136,148
5,47,52
26,72,98
68,32,100
183,112,295
186,2,188
59,23,82
38,3,41
126,55,181
87,107,194
79,127,206
95,118,213
178,8,186
84,20,104
192,37,229
14,68,82
198,100,298
18,139,157
120,46,166
49,64,113
97,3,100
31,196,227
182,63,245
98,197,295
113,63,176
188,8,196
50,117,167
188,197,385
24,133,157
170,53,223
121,99,220
174,79,253
82,40,122
161,186,347
10,190,200
140,133,273
31,64,95
123,163,286
76,50,126
92,13,105
170,55,225
28,60,88
162,111,273
83,3,86
42,70,112
149,30,179
101,62,163
2,10,12
148,200,348
176,121,297
176,152,328
39,95,134
197,22,219
63,40,103
127,23,150
175,158,333
86,194,280
160,15,175
15,91,106
165,39,204
179,137,316
27,32,59
124,59,183
81,142,223
165,193,358
88,112,200
187,49,236
5,176,181
96,91,187
185,34,219
64,10,74
124,180,304
112,143,255
75,138,213
178,125,303
48,145,193
47,139,186
89,82,171
187,119,306
70,153,223
141,41,182
17,135,152
39,115,154
75,67,142
138,93,231
116,0,116
198,163,361
129,97,226
187,47,234
4,158,162
93,198,291
158,61,219
82,184,266
16,168,184
137,99,236
48,134,182
174,127,301
196,141,337
39,156,195
72,82,154
104,164,268
82,28,110
24,133,157
168,17,185
11,33,44
45,8,53
51,27,78
124,49,173
25,8,33
146,164,310
99,168,267
125,134,259
159,179,338
151,65,216
12,93,105
56,155,211
183,18,201
3,53,56
167,125,292
20,119,139
163,15,178
92,142,234
190,106,296
94,181,275
14,157,171
68,135,203
10,187,197
18,77,95
19,55,74
132,24,156
25,185,210
59,136,195
98,48,146
49,134,183
168,63,231
145,160,305
45,142,187
191,142,333
106,191,297
27,196,223
163,147,310
91,172,263
117,179,296
170,109,279
26,42,68
46,140,186
102,129,231
86,168,254
40,136,176
153,113,266
90,80,170
140,83,223
95,105,200
195,162,357
110,185,295
82,155,237
61,144,205
139,54,193
96,196,292
140,190,330
65,92,157
115,114,229
101,0,101
185,8,193
72,152,224
4,132,136
34,77,111
1,76,77
56,54,110
80,5,85
197,176,373
70,141,211
130,142,272
146,146,292
39,24,63
9,117,126
91,39,130
35,67,102
93,149,242
63,59,122
65,76,141
23,146,169
102,145,247
55,187,242
19,185,204
83,123,206
44,124,168
176,179,355
147,24,171
152,164,316
76,9,85
187,147,334
97,20,117
199,14,213
197,85,282
89,111,200
106,30,136
197,58,255
191,167,358
154,2,156
162,199,361
161,97,258
13,78,91
134,10,144
81,138,219
144,38,182
83,128,211
178,56,234
39,12,51
172,187,359
100,114,214
192,152,344
147,129,276
23,56,79
110,74,184
100,37,137
33,86,119
21,121,142
146,190,336
12,140,152
102,67,169
21,102,123
128,111,239
198,178,376
33,195,228
34,123,157
143,50,193
124,101,225
166,146,312
50,143,193
157,188,345
134,63,197
62,18,80
68,198,266
110,82,192
175,147,322
22,28,50
171,105,276
108,93,201
89,48,137
82,88,170
152,167,319
6,197,203
78,43,121
89,157,246
113,159,272
37,112,149
11,59,70
51,175,226
95,39,134
193,186,379
21,28,49
189,13,202
62,158,220
37,73,110
3,87,90
177,28,205
78,115,193
120,5,125
84,53,137
189,137,326
54,52,106
139,133,272
192,66,258
140,123,263
159,186,345
36,177,213
178,171,349
4,96,100
149,169,318
134,11,145
65,43,108
15,72,87
51,178,229
158,69,227
13,119,132
167,2,169
17,99,116
169,69,238
169,168,337
92,27,119
4,74,78
166,98,264
59,97,156
130,181,311
25,80,105
124,152,276
136,22,158
47,50,97
128,117,245
143,182,325
5,10,15
63,135,198
78,85,163
125,100,225
190,40,230
4,88,92
175,90,265
90,160,250
77,60,137
128,70,198
15,160,175
65,99,164
7,142,149
71,57,128
38,87,125
100,168,268
35,22,57
186,97,283
133,173,306
156,160,316
175,58,233
106,61,167
146,39,185
109,79,188
154,84,238
114,138,252
33,52,85
167,35,202
148,138,286
175,51,226
35,79,114
176,180,356
134,34,168
110,197,307
37,167,204
144,40,184
81,17,98
142,136,278
184,30,214
47,81,128
37,186,223
7,195,202
81,105,186
105,77,182
113,190,303
163,189,352
70,38,108
199,48,247
27,33,60
47,6,53
195,156,351
157,68,225
155,145,300
156,59,215
152,59,211
59,175,234
6,91,97
20,176,196
199,122,321
34,128,162
154,120,274
182,166,348
95,47,142
99,125,224
121,35,156
41,49,90
57,8,65
104,195,299
3,69,72
105,56,161
190,171,361
51,193,244
52,16,68
45,112,157
157,125,282
176,83,259
117,63,180
109,103,212
198,10,208
155,188,343
97,184,281
80,100,180
156,190,346
146,152,298
137,134,271
164,180,344
9,133,142
27,115,142
116,10,126
62,132,194
137,101,238
188,10,198
142,99,241
132,195,327
161,12,173
48,74,122
112,101,213
77,198,275
73,118,191
42,108,150
75,156,231
13,176,189
132,36,168
118,165,283
115,23,138
184,128,312
28,46,74
199,149,348
178,139,317
34,100,134
105,82,187
115,6,121
45,116,161
151,182,333
51,116,167
23,64,87
82,177,259
166,182,348
41,183,224
187,31,218
23,29,52
180,115,295
162,92,254
21,134,155
181,98,279
186,130,316
156,40,196
96,140,236
97,11,108
196,43,239
85,144,229
168,38,206
41,37,78
45,196,241
182,13,195
107,78,185
79,186,265
196,114,310
73,160,233
46,30,76
33,51,84
0,159,159
195,64,259
3,117,120
127,127,254
139,1,140
155,126,281
60,55,115
150,168,318
121,116,237
104,113,217
20,153,173
153,1,154
62,140,202
71,158,229
160,142,302
53,12,65
47,37,84
14,167,181
89,9,98
37,8,45
170,147,317
154,76,230
84,22,106
12,27,39
106,45,151
41,172,213
72,156,228
169,177,346
179,152,331
146,143,289
45,116,161
191,148,339
92,9,101
23,196,219
76,82,158
94,97,191
17,194,211
109,140,249
16,74,90
120,34,154
31,177,208
70,84,154
134,105,239
134,53,187
178,53,231
156,14,170
27,146,173
186,161,347
135,22,157
123,185,308
176,154,330
180,73,253
109,155,264
81,66,147
134,147,281
159,90,249
33,157,190
144,127,271
133,186,319
161,127,288
126,46,172
156,59,215
181,74,255
49,0,49
30,6,36
119,160,279
30,188,218
53,157,210
106,105,211
11,85,96
89,143,232
163,54,217
2,163,165
51,176,227
72,65,137
17,78,95
76,129,205
140,82,222
196,1,197
29,175,204
85,87,172
101,185,286
145,157,302
7,44,51
49,84,133
86,172,258
122,121,243
9,165,174
34,123,157
39,160,199
117,137,254
85,118,203
200,105,305
190,14,204
133,76,209
144,185,329
173,80,253
142,137,279
4,53,57
147,175,322
84,90,174
16,38,54
71,7,78
86,96,182
160,136,296
42,146,188
155,99,254
47,152,199
29,200,229
192,78,270
180,80,260
181,8,189
69,105,174
22,127,149
60,95,155
115,77,192
55,134,189
77,44,121
28,95,123
200,9,209
199,51,250
23,113,136
129,6,135
123,128,251
39,48,87
87,123,210
187,134,321
79,198,277
83,36,119
196,25,221
132,173,305
33,52,85
185,9,194
117,99,216
182,133,315
29,1,30
79,11,90
175,152,327
22,85,107
119,11,130
26,133,159
196,168,364
190,79,269
5,147,152
194,79,273
163,53,216
82,51,133
49,73,122
70,136,206
81,197,278
112,171,283
30,69,99
38,40,78
70,29,99
3,159,162
143,131,274
26,52,78
138,89,227
140,81,221
69,36,105
180,72,252
146,62,208
43,18,61
79,156,235
86,138,224
113,12,125
33,7,40
120,172,292
12,27,39
98,13,111
22,109,131
100,45,145
180,152,332
151,161,312
176,179,355
114,157,271
91,79,170
85,50,135
182,194,376
171,136,307
20,193,213
195,119,314
145,33,178
23,178,201
119,24,143
116,79,195
175,164,339
181,196,377
119,120,239
59,57,116
36,157,193
66,93,159
100,46,146
179,170,349
84,83,167
116,124,240
7,16,23
121,28,149
89,122,211
118,43,161
72,196,268
89,154,243
147,32,179
130,26,156
103,182,285
27,83,110
142,166,308
18,77,95
136,118,254
102,151,253
105,61,166
158,62,220
140,40,180
123,98,221
16,87,103
53,177,230
151,110,261
200,111,311
145,87,232
139,177,316
60,44,104
169,171,340
19,189,208
182,146,328
124,29,153
151,152,303
118,83,201
142,24,166
113,45,158
78,103,181
17,153,170
27,175,202
152,197,349
97,83,180
126,165,291
169,15,184
23,55,78
35,148,183
193,162,355
0,193,193
37,169,206
38,115,153
136,74,210
99,157,256
147,114,261
50,52,102
174,81,255
76,145,221
173,77,250
111,183,294
88,22,110
149,2,151
156,130,286
103,32,135
75,15,90
94,140,234
13,0,13
180,143,323
91,28,119
72,7,79
60,110,170
179,151,330
100,160,260
81,182,263
97,103,200
97,111,208
139,54,193
169,44,213
121,35,156
48,142,190
98,92,190
106,39,145
73,171,244
32,34,66
2,18,20
165,4,169
36,184,220
124,168,292
111,34,145
21,35,56
164,106,270
116,178,294
154,108,262
159,46,205
116,130,246
108,141,249
115,98,213
90,57,147
47,108,155
154,1,155
147,127,274
187,60,247
182,128,310
68,105,173
139,147,286
93,8,101
9,145,154
123,180,303
94,28,122
148,123,271
176,20,196
36,186,222
187,134,321
192,199,391
71,119,190
132,20,152
133,156,289
22,62,84
120,161,281
189,169,358
171,19,190
175,162,337
138,148,286
79,156,235
13,87,100
136,199,335
2,120,122
116,131,247
120,146,266
187,84,271
107,90,197
75,74,149
42,9,51
177,152,329
191,77,268
186,200,386
144,66,210
15,161,176
121,148,269
43,146,189
13,168,181
74,188,262
159,6,165
73,124,197
21,32,53
129,19,148
200,71,271
64,33,97
157,71,228
70,65,135
3,189,192
28,154,182
44,151,195
189,38,227
168,114,282
94,44,138
66,200,266
179,60,239
124,46,170
135,8,143
87,21,108
37,152,189
39,126,165
192,105,297
197,98,295
60,169,229
112,185,297
163,42,205
53,147,200
187,88,275
13,164,177
67,193,260
29,13,42
42,118,160
102,121,223
77,121,198
191,192,383
136,59,195
97,174,271
180,99,279
121,67,188
37,135,172
111,3,114
73,114,187
97,173,270
80,135,215
174,10,184
24,136,160
163,90,253
110,156,266
166,69,235
85,69,154
68,25,93
65,167,232
149,100,249
118,197,315
172,191,363
61,187,248
172,150,322
197,49,246
133,86,219
173,176,349
46,80,126
140,2,142
172,2,174
17,3,20
105,25,130
134,26,160
175,114,289
89,56,145
185,72,257
64,49,113
8,6,14
158,23,181
14,152,166
168,55,223
153,163,316
31,181,212
30,22,52
154,33,187
96,168,264
195,165,360
144,47,191
28,178,206
47,64,111
75,119,194
169,19,188
163,116,279
70,196,266
109,177,286
170,197,367
197,82,279
65,41,106
199,18,217
70,198,268
15,97,112
99,85,184
15,66,81
67,45,112
112,17,129
125,51,176
156,100,256
45,165,210
125,27,152
36,138,174
196,110,306
55,157,212
164,27,191
113,183,296
66,26,92
8,18,26
18,146,164
186,64,250
198,114,312
4,127,131
38,167,205
163,0,163
9,170,179
99,68,167
38,179,217
84,100,184
147,0,147
131,181,312
197,125,322
122,111,233
103,186,289
199,17,216
138,57,195
0,98,98
176,199,375
123,31,154
145,137,282
91,85,176
174,77,251
102,14,116
161,165,326
23,93,116
136,87,223
20,117,137
194,196,390
74,165,239
51,45,96
141,10,151
98,169,267
48,76,124
178,99,277
27,161,188
176,91,267
124,21,145
161,112,273
188,48,236
35,9,44
49,6,55
184,151,335
61,125,186
99,16,115
138,164,302
78,127,205
136,115,251
4,9,13
86,14,100
86,184,270
10,103,113
30,54,84
167,170,337
133,117,250
173,137,310
38,189,227
148,59,207
18,9,27
188,36,224
125,167,292
4,120,124
158,11,169
62,179,241
166,33,199
3,44,47
161,12,173
78,24,102
116,156,272
43,151,194
16,27,43
29,127,156
152,157,309
56,16,72
51,109,160
86,188,274
173,102,275
83,30,113
175,147,322
139,35,174
82,54,136
195,11,206
151,44,195
85,16,101
30,70,100
36,193,229
106,43,149
178,94,272
141,42,183
112,62,174
148,10,158
34,25,59
161,156,317
96,199,295
40,4,44
124,20,144
1,1,2
45,22,67
180,166,346
151,72,223
106,177,283
197,121,318
177,32,209
52,36,88
163,69,232
133,115,248
105,61,166
44,156,200
177,9,186
152,46,198
183,127,310
156,22,178
160,200,360
77,89,166
107,1,108
142,60,202
49,30,79
135,24,159
158,92,250
194,138,332
129,56,185
118,197,315
160,168,328
53,70,123
13,49,62
28,38,66
175,121,296
127,45,172
40,171,211
11,13,24
165,93,258
72,53,125
111,64,175
85,157,242
194,116,310
11,26,37
189,13,202
137,45,182
40,7,47
124,131,255
29,18,47
60,184,244
113,151,264
148,83,231
107,50,157
191,173,364
83,58,141
199,28,227
83,58,141
25,60,85
188,105,293
51,96,147
56,18,74
120,149,269
124,13,137
111,37,148
55,156,211
116,45,161
99,95,194
34,117,151
184,49,233
161,91,252
69,51,120
85,32,117
8,177,185
145,15,160
71,34,105
28,119,147
117,107,224
43,194,237
87,56,143
75,154,229
40,163,203
156,43,199
147,141,288
58,22,80
105,133,238
125,55,180
151,121,272
118,71,189
3,186,189
109,188,297
63,63,126
83,111,194
148,56,204
151,38,189
146,1,147
106,11,117
10,120,130
187,196,383
129,8,137
108,135,243
100,122,222
178,25,203
115,126,241
61,21,82
142,192,334
3,177,180
187,104,291
55,33,88
91,75,166
61,165,226
23,4,27
122,171,293
78,41,119
180,117,297
146,191,337
149,6,155
116,118,234
197,35,232
180,103,283
47,94,141
160,118,278
180,162,342
0,160,160
18,98,116
176,85,261
135,8,143
75,109,184
192,69,261
178,156,334
138,147,285
53,175,228
20,158,178
85,188,273
14,131,145
172,93,265
13,28,41
98,93,191
119,158,277
10,93,103
93,44,137
165,143,308
180,17,197
143,181,324
198,52,250
35,85,120
61,138,199
29,166,195
122,188,310
192,148,340
179,53,232
192,190,382
194,57,251
82,90,172
68,128,196
174,108,282
70,13,83
16,95,111
88,115,203
124,128,252
134,31,165
120,181,301
136,173,309
136,74,210
115,158,273
94,172,266
177,16,193
48,117,165
22,20,42
100,45,145
73,19,92
27,42,69
70,28,98
178,37,215
127,38,165
52,133,185
160,5,165
75,106,181
174,138,312
33,121,154
88,107,195
113,188,301
165,5,170
74,48,122
16,5,21
59,133,192
165,85,250
105,148,253
87,167,254
165,83,248
124,151,275
170,178,348
135,140,275
113,117,230
77,145,222
33,78,111
43,66,109
58,123,181
95,73,168
197,12,209
37,90,127
72,116,188
42,158,200
41,182,223
137,73,210
46,44,90
181,177,358
170,39,209
41,60,101
29,10,39
81,147,228
32,112,144
66,94,160
47,52,99
143,181,324
8,170,178
81,88,169
37,95,132
114,138,252
41,136,177
77,31,108
6,103,109
127,196,323
37,117,154
81,39,120
