a,b,operation,result
-22,-37,1,15
-5,-41,2,205
-8,-35,1,27
-40,-45,2,1800
-31,-28,1,-3
17,-8,2,-136
-27,36,1,-63
-31,35,2,-1085
-12,29,1,-41
-6,-37,1,31
13,34,1,-21
-17,41,0,24
50,-50,0,0
49,33,0,82
-10,-32,1,22
7,42,1,-35
-42,-36,2,1512
4,43,1,-39
-32,-39,1,7
-34,-27,1,-7
-5,-10,1,5
4,11,2,44
2,27,2,54
-8,-33,2,264
-19,-1,1,-18
20,13,2,260
18,13,2,234
18,-21,1,39
-40,24,2,-960
3,17,2,51
49,38,2,1862
-22,39,0,17
-20,-4,0,-24
-24,-48,1,24
21,10,0,31
-36,-43,1,7
-4,49,0,45
-13,8,0,-5
20,3,0,23
-24,-22,0,-46
45,-33,0,12
39,40,0,79
-2,43,0,41
39,4,1,35
-44,39,0,-5
34,24,0,58
11,26,0,37
-47,-32,1,-15
-32,-40,0,-72
-41,-49,2,2009
3,-31,0,-28
10,45,0,55
45,17,2,765
-12,10,1,-22
42,-7,1,49
50,32,2,1600
-49,-14,0,-63
-31,-43,2,1333
-46,27,0,-19
14,-30,0,-16
0,4,2,0
8,20,2,160
-17,23,2,-391
-11,40,0,29
4,-30,1,34
-39,16,1,-55
-34,45,0,11
1,29,0,30
-22,0,0,-22
45,21,2,945
-41,38,1,-79
11,-10,2,-110
32,1,1,31
-29,-44,1,15
32,4,0,36
-16,-37,0,-53
-41,-4,2,164
49,-8,0,41
-20,-14,0,-34
19,-37,0,-18
-23,26,0,3
46,-11,0,35
20,-25,2,-500
-46,-20,1,-26
-40,22,2,-880
-45,22,1,-67
-45,-44,1,-1
-39,-11,0,-50
-5,46,1,-51
0,14,0,14
-10,46,1,-56
42,-5,0,37
39,36,0,75
-8,2,2,-16
14,-38,2,-532
49,-31,0,18
25,-2,1,27
25,-46,1,71
-30,-31,2,930
9,-40,2,-360
-39,41,0,2
-23,37,2,-851
-32,48,2,-1536
-30,14,2,-420
43,27,2,1161
16,48,1,-32
7,50,0,57
-7,-13,1,6
29,5,0,34
41,49,2,2009
-1,-20,0,-21
28,27,0,55
-31,22,2,-682
13,-38,0,-25
-32,48,1,-80
20,50,0,70
13,-38,1,51
-10,-29,1,19
-30,-42,1,12
23,-4,1,27
-39,-41,0,-80
40,48,1,-8
-17,10,1,-27
47,6,2,282
-33,-35,2,1155
12,-45,1,57
-14,1,1,-15
29,37,0,66
6,-4,2,-24
29,-10,1,39
-40,37,1,-77
14,7,1,7
37,-45,2,-1665
32,-43,2,-1376
-19,39,2,-741
-49,-31,0,-80
-13,-2,0,-15
22,1,0,23
-22,-1,1,-21
35,-39,1,74
9,9,2,81
18,9,0,27
-40,-27,2,1080
-37,0,1,-37
-25,1,1,-26
-42,-10,1,-32
27,12,0,39
39,44,1,-5
-36,-15,1,-21
-46,19,0,-27
10,-32,2,-320
-23,-10,2,230
-46,26,1,-72
-43,-4,1,-39
10,-23,0,-13
-23,-48,2,1104
4,-16,1,20
31,-28,0,3
-32,-42,1,10
1,-40,1,41
41,7,1,34
17,-23,2,-391
-17,-27,0,-44
-39,4,1,-43
46,-12,0,34
-25,-6,1,-19
11,10,2,110
38,50,0,88
39,5,1,34
38,23,1,15
-49,21,2,-1029
-25,-41,2,1025
35,24,2,840
-32,-9,2,288
43,45,2,1935
43,-10,0,33
-31,8,0,-23
13,-10,0,3
36,2,1,34
16,42,0,58
7,-34,2,-238
7,31,2,217
-38,-46,0,-84
45,-26,1,71
39,19,0,58
26,-2,0,24
-6,-24,0,-30
36,23,0,59
-3,-4,0,-7
-12,-11,2,132
-35,39,1,-74
33,8,1,25
2,-5,1,7
19,4,2,76
47,-8,0,39
-28,8,1,-36
-3,-28,2,84
26,-30,2,-780
5,-2,1,7
34,38,2,1292
5,31,1,-26
39,29,0,68
-39,-37,0,-76
33,-48,2,-1584
2,-37,1,39
45,46,2,2070
19,-38,2,-722
6,14,2,84
-46,35,1,-81
3,-23,0,-20
49,8,2,392
-2,-36,0,-38
10,-35,1,45
9,2,2,18
40,50,2,2000
0,-50,1,50
50,-22,2,-1100
-14,-16,2,224
-17,-11,1,-6
36,-20,0,16
3,-46,0,-43
-47,-31,1,-16
16,44,2,704
-10,-8,0,-18
23,5,0,28
21,0,0,21
28,32,1,-4
-44,23,1,-67
-34,31,1,-65
43,-28,1,71
-10,16,0,6
5,-21,0,-16
40,-34,2,-1360
-35,30,2,-1050
50,0,2,0
-17,20,0,3
-9,-24,0,-33
-39,-47,1,8
-49,30,2,-1470
-31,-47,2,1457
40,19,0,59
23,-2,0,21
45,43,0,88
8,31,2,248
49,-5,0,44
-20,33,0,13
-12,-26,2,312
-19,42,1,-61
48,-17,2,-816
-44,-15,0,-59
-32,30,0,-2
31,24,0,55
-36,8,2,-288
-35,-37,0,-72
-14,-17,0,-31
-39,-41,1,2
-4,-24,1,20
-38,12,0,-26
2,-41,1,43
30,-41,0,-11
37,3,1,34
-10,31,1,-41
-30,-27,1,-3
-49,-28,2,1372
22,30,2,660
-46,-35,1,-11
-6,11,2,-66
26,19,0,45
-30,16,2,-480
-18,-35,0,-53
27,-47,2,-1269
-48,16,2,-768
47,-31,0,16
-4,-36,0,-40
-47,-9,0,-56
-22,-40,2,880
38,-34,1,72
-15,11,0,-4
-39,-6,2,234
20,33,1,-13
9,45,1,-36
5,15,1,-10
-26,-18,0,-44
-25,37,2,-925
-15,0,0,-15
24,48,2,1152
-11,-29,0,-40
42,12,1,30
7,4,2,28
45,-16,1,61
29,-37,2,-1073
-1,4,0,3
22,-5,1,27
30,-42,1,72
-29,-46,2,1334
-18,25,1,-43
-13,27,2,-351
17,-5,1,22
-47,-36,0,-83
-9,4,0,-5
-5,-19,0,-24
-23,34,1,-57
-3,-32,1,29
-35,-49,1,14
38,-49,2,-1862
-8,-23,1,15
22,-9,0,13
21,-42,1,63
-14,27,0,13
17,-23,0,-6
21,-15,2,-315
27,35,0,62
23,32,1,-9
37,46,1,-9
-10,-10,0,-20
-25,-44,1,19
13,-45,1,58
3,-35,0,-32
7,-29,2,-203
-9,25,1,-34
-20,23,0,3
-14,-48,2,672
50,23,0,73
9,-14,0,-5
1,-46,2,-46
17,-45,1,62
32,-48,0,-16
10,-38,1,48
42,-12,1,54
-10,46,1,-56
1,-40,2,-40
49,-10,1,59
28,-44,1,72
-12,39,1,-51
13,32,0,45
-3,29,0,26
-47,-22,0,-69
-49,-33,0,-82
-9,38,2,-342
5,-22,0,-17
-39,-26,2,1014
-3,18,0,15
38,-44,1,82
50,-45,0,5
-44,-12,0,-56
-17,-8,2,136
28,-2,1,30
39,-29,0,10
24,8,0,32
-34,-10,0,-44
46,24,1,22
31,7,2,217
-35,16,2,-560
-20,23,1,-43
34,12,1,22
-9,48,2,-432
11,-22,0,-11
-17,48,1,-65
41,-40,1,81
21,-19,2,-399
32,44,0,76
38,-41,0,-3
13,-43,0,-30
-49,35,0,-14
9,-1,0,8
12,-37,1,49
-24,25,2,-600
15,-10,1,25
40,8,2,320
-31,14,0,-17
-34,-22,1,-12
-1,7,2,-7
15,-25,1,40
-26,-42,1,16
4,-29,2,-116
-11,23,2,-253
-37,-32,1,-5
-37,45,0,8
-20,-48,1,28
-27,-16,0,-43
10,34,2,340
7,-5,1,12
-35,20,0,-15
-5,5,0,0
-31,0,2,0
5,15,1,-10
-44,6,1,-50
-3,-38,0,-41
33,-2,2,-66
4,-26,1,30
-26,1,0,-25
26,-15,2,-390
27,13,2,351
5,-37,2,-185
-44,32,0,-12
-36,-22,0,-58
-44,-46,2,2024
-16,-20,0,-36
18,-38,1,56
-22,29,2,-638
41,1,1,40
0,-38,0,-38
43,38,1,5
13,-24,0,-11
50,-24,1,74
31,-14,2,-434
26,-14,2,-364
-50,-38,0,-88
14,39,2,546
11,44,1,-33
38,-20,0,18
-10,37,0,27
-29,-27,1,-2
8,-32,0,-24
35,10,1,25
-8,-48,0,-56
-17,-41,0,-58
36,47,0,83
26,-5,1,31
24,-50,1,74
-19,10,0,-9
-45,-48,2,2160
37,-13,0,24
17,14,0,31
46,-32,0,14
-38,-12,2,456
-8,7,1,-15
44,-6,2,-264
-18,34,1,-52
-18,-4,1,-14
-49,-5,1,-44
40,-8,2,-320
49,34,2,1666
11,-36,1,47
37,16,2,592
31,-48,0,-17
2,-22,2,-44
-32,-5,1,-27
-47,-19,2,893
44,39,1,5
-4,-24,2,96
-39,-26,1,-13
31,-37,1,68
30,36,2,1080
7,17,0,24
-17,36,1,-53
-8,0,2,0
3,-15,1,18
-26,-45,2,1170
16,39,1,-23
28,-35,1,63
8,22,1,-14
-14,-36,0,-50
13,37,0,50
9,37,0,46
16,-13,2,-208
21,35,0,56
-12,12,1,-24
-42,-13,0,-55
8,-45,0,-37
-14,25,0,11
-44,12,1,-56
-50,5,1,-55
34,-50,0,-16
-18,-33,1,15
-14,50,2,-700
35,48,2,1680
-31,-39,2,1209
-16,-32,2,512
-25,5,2,-125
-40,-13,0,-53
-46,10,1,-56
-19,36,2,-684
-1,4,1,-5
-38,-17,1,-21
26,-11,0,15
22,5,2,110
-9,24,0,15
37,48,0,85
-18,-33,1,15
20,-25,1,45
-11,-40,1,29
22,30,1,-8
19,-27,1,46
50,5,0,55
-33,17,1,-50
38,-10,2,-380
37,41,1,-4
9,-5,1,14
9,3,1,6
9,-47,2,-423
-47,48,1,-95
-39,46,0,7
28,-12,0,16
24,15,1,9
-34,29,2,-986
22,-13,0,9
46,0,0,46
1,35,0,36
9,47,2,423
8,-44,0,-36
-43,-16,2,688
-37,-8,2,296
-38,-13,2,494
11,38,1,-27
-43,-35,2,1505
24,36,2,864
44,41,0,85
39,-24,2,-936
-32,21,2,-672
13,-33,0,-20
36,31,0,67
-12,30,1,-42
42,-50,1,92
29,38,0,67
-36,-42,0,-78
-31,27,0,-4
16,-38,0,-22
-24,-37,1,13
-47,14,1,-61
0,-43,0,-43
-12,1,1,-13
-27,-20,2,540
-17,28,2,-476
6,34,2,204
-35,5,0,-30
31,-48,0,-17
-32,45,2,-1440
-20,-29,2,580
44,39,2,1716
-25,10,1,-35
-13,-13,2,169
-38,25,1,-63
-3,35,1,-38
0,-1,2,0
-37,9,1,-46
4,-32,0,-28
-14,8,0,-6
22,-1,0,21
